frames,policy_entropy,policy_loss,grad_norm,advantage_norm,explained_variance,PMM:episode_rewards,P09:episode_rewards,epoch_idx,value_loss,episode_length,P01:episode_rewards,fps
1136000,1.3552953946590423,0.0011845323692250532,0.19373901220517464,1.0900932575389743,-0.022378100752830504,1.09,3.0,142,0.011281620385325368,164.7,0.0,224
1144000,1.3808621191978454,0.0026776017202064396,0.18071272173132402,1.0744072907045483,-0.0046006542444229125,1.04,3.0,143,0.01178185939247669,166.06,0.0,224
1152000,1.370502816438675,0.0008213193203846458,0.2167620732882924,1.329533081240952,-0.0007929855585098267,1.35,3.0,144,0.015422757002379512,181.71,0.0,224
1160000,1.3813141369819641,0.003130382642848417,0.22051517349184624,1.3275711631029845,-0.001353541612625122,1.55,4.0,145,0.016061025233502734,190.25,0.0,224
1168000,1.3783716309070586,0.0013509483024245128,0.16448909612687118,1.0530839711986482,-0.001811005473136902,1.25,3.0,146,0.010707218137395103,175.79,0.0,223
1176000,1.376450207233429,4.036768630612641e-05,0.1986106494094012,1.147891683615744,-0.00055511474609375,1.16,3.0,147,0.012868995587887185,172.69,0.0,223
1184000,1.3795315325260162,-0.0014080851955804974,0.1925637790148339,1.1586437596939505,-0.0019979065656661986,1.17,3.0,148,0.01295888940531995,174.1,0.0,223
1192000,1.3834875750541686,0.0024720004180562682,0.18639223254438606,1.172537551894784,-0.0016904300451278686,0.95,3.0,149,0.012974341826416094,165.51,0.0,223
1200000,1.3678628242015838,-0.0011843170667998493,0.16792803061400208,0.9855266550555826,-0.0013612276315689087,1.25,3.0,150,0.010773343305784238,175.07,0.0,223
1208000,1.3472819888591767,0.0017117198300547899,0.1800403543917014,1.0914682762883603,-0.0008502817153930664,1.29,2.1000000000000085,151,0.011742882898533934,174.06,0.0,223
1216000,1.3742721378803253,-0.0005717240390367806,0.2245217544066803,1.4309460813552142,8.751749992370606e-06,1.26,3.0,152,0.017173970218491378,174.93,0.0,223
1224000,1.3698062813282013,0.001213280538795516,0.20161398264098768,1.3271631705015898,-0.0006420129537582398,1.53,3.0,153,0.01555595598059881,185.32,0.0,223
1232000,1.3723358941078185,0.0003341267941868864,0.21880838541652278,1.3605268313735723,-0.000792960524559021,1.6,5.0,154,0.015594025133068498,188.88,0.0,223
1240000,1.3762234079837798,0.002705890091601759,0.1888289044664757,1.05278015345335,-0.001499335765838623,1.57,4.1000000000000085,155,0.011675120168547437,190.06,0.0,223
1248000,1.3622078621387481,0.001359567644976778,0.18508756719847747,1.1635579523444175,-0.0001190561056137085,1.28,3.1000000000000085,156,0.012895022867242005,180.07,0.0,224
1256000,1.3747464382648469,0.0005743641803564969,0.20295735679796514,1.3466039943695067,-0.0010210508108139038,1.39,5.0,157,0.015288797866123787,183.5,0.0,224
1264000,1.3757617962360382,-0.0009701276605483145,0.19389839960952884,1.1424509267881513,-0.0017863291501998902,1.57,5.1000000000000085,158,0.012187376374076847,190.08,0.0,224
