frames,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,grad_norm,advantage_norm,approx_kl_divergence,episode_length,policy_entropy,fps,clip_fraction,explained_variance,value_loss
962560,825.0,347.5,624.25,94,-0.014888643612903252,1.8912324183600233,15.968719190359115,0.0031262743361370167,480.73,1.650677827000618,237,0.1945556640625,0.9245766200125217,0.10184275943320245
972800,825.0,350.0,619.0,95,-0.014124728210299508,1.9590494566235588,15.968719124794006,0.002565244946618211,486.79,1.6521550618112086,237,0.1641357421875,0.9427518017590046,0.10624848190927878
983040,825.0,375.0,613.75,96,-0.013059510545281228,1.9989258068679832,15.968719166517257,0.002462377907864113,487.47,1.6563380934298038,237,0.1537109375,0.937355938181281,0.10845094884280115
993280,825.0,375.0,617.75,97,-0.012405839852726785,2.0985676023901982,15.968719226121902,0.0023971696314450544,493.53,1.6524791158735752,237,0.1552490234375,0.9425391044467688,0.12413529423065484
1003520,825.0,400.0,643.5,98,-0.014526783980545587,1.8791847928904624,15.968719232082368,0.0027135801252373597,500.75,1.655049418658018,237,0.1781982421875,0.9604976698756218,0.07817004412645474
1013760,825.0,400.0,657.0,99,-0.012499451850453624,1.9847115358421807,15.968719315528869,0.002602366700489593,509.13,1.6705881215631961,237,0.160302734375,0.9321500960737467,0.1267231853445992
1024000,825.0,400.0,663.25,100,-0.013622040350310272,1.8158810731858661,15.968719238042832,0.00280461548358094,502.21,1.6528257586061954,237,0.1708984375,0.9540642201900482,0.09247202367987484
1034240,825.0,372.5,678.5,101,-0.012773147290863563,2.2590417486912466,15.968719285726547,0.0027419759544958424,500.59,1.6533668361604215,237,0.171435546875,0.8738460320979357,0.29906669615302234
1044480,825.0,347.5,677.75,102,-0.011133794470515568,2.2464589836177633,15.968719244003296,0.0022398759800924756,493.18,1.6699516862630843,236,0.1424072265625,0.8887903936207294,0.22736519381869585
1054720,825.0,350.0,674.75,103,-0.013423575051274384,1.744785513074164,15.96871920824051,0.0026050883144765322,487.41,1.667501375079155,236,0.156689453125,0.9260501150041819,0.13046477657044306
1064960,827.5000000000002,350.0,683.75,104,-0.014130058423324954,1.6900884267569083,15.968719351291657,0.002766584273195203,499.62,1.6699757859110833,236,0.16494140625,0.9473053324967623,0.10648979041725397
1075200,865.0000000000013,347.5,701.5,105,-0.012801134535402525,1.921995240132322,15.968719321489335,0.002370404855833232,511.31,1.6728895701467992,236,0.1591796875,0.926844148337841,0.12959605099167676
1085440,827.5000000000002,375.0,681.25,106,-0.012962143757613375,1.861669704878804,15.968719309568405,0.0026890595745047304,506.64,1.6619534209370612,236,0.161962890625,0.9399959683418274,0.13857102810870855
1095680,852.5000000000002,400.0,708.25,107,-0.01355055068997899,1.812134332228951,15.968719339370727,0.002927399689861291,518.41,1.6584798112511634,236,0.1818603515625,0.915140675380826,0.13259779884247108
1105920,852.5000000000002,400.0,706.5,108,-0.013305793092877138,1.8605935849505173,15.96871924996376,0.0025900117353561333,512.7,1.6546326376497746,236,0.15576171875,0.9358562257140874,0.11222310932353138
1116160,827.5000000000002,422.5,702.5,109,-0.01427397839470359,1.6618070823872078,15.968719148635865,0.0027359832133018866,507.23,1.655996200442314,236,0.1686767578125,0.9265839193016291,0.09277934143319726
1126400,850.0,422.5,744.5,110,-0.011712738251662812,1.8837057156163213,15.968719184398651,0.002558095260110674,518.8,1.6641862995922565,236,0.1666259765625,0.8911473248153925,0.2786176134599373
1136640,882.5000000000006,422.5,823.75,111,-0.012283662974004983,1.8167435736334308,15.968719452619553,0.003229762716682976,538.04,1.6627272330224514,236,0.1458251953125,0.8476548869162798,0.4725365818245336
1146880,860.0000000000008,400.0,834.25,112,-0.011806439604697516,1.8064291288658496,15.968719387054444,0.0021447412202636124,540.63,1.6838436275720596,236,0.1299072265625,0.8856872498989106,0.26664785693865267
1157120,950.0,395.0,857.5,113,-0.011497020994283957,1.828233337155605,15.968719333410263,0.0022279887391053635,539.05,1.6827727660536766,236,0.1389404296875,0.8805046223104,0.27485988824628294
1167360,955.0000000000005,397.5,868.25,114,-0.014075656806016922,1.6691562984425032,15.968719214200974,0.002534930681918339,542.84,1.6668150521814824,236,0.1603759765625,0.9527389712631702,0.09312034412287176
1177600,850.0,372.5,818.75,115,-0.012827760994696291,1.7511975706837242,15.968719124794006,0.002888580756644287,539.12,1.66805022880435,236,0.171240234375,0.9445194326341152,0.12688687711488456
1187840,865.0000000000013,372.5,818.25,116,-0.014673130873961781,1.8674967280814656,15.968719404935836,0.0025455822800612466,539.44,1.6664092011749745,236,0.1599853515625,0.9233053758740425,0.2902820414165035
1198080,1205.0000000000005,422.5,890.0,117,-0.012979923465900356,2.1020264740216357,15.968719232082368,0.0029155471759853293,552.13,1.6657370664179325,236,0.179736328125,0.8658878229558468,0.3498076744377613
1208320,1252.5000000000002,425.0,882.5,118,-0.01436458673706511,1.7492014541759837,15.968719363212585,0.002659289938106074,563.46,1.6619431994855405,236,0.1717041015625,0.9345084186643362,0.10846326977480203
