frames,policy_entropy,episode_length,fps,advantage_norm,explained_variance,P09:episode_rewards,P01:episode_rewards,epoch_idx,policy_loss,PMM:episode_rewards,value_loss,grad_norm
1256000,1.201429958343506,444.51,216,1.4481078654527664,0.8576230257749557,16.0,5.9,157,-0.0038681611602078194,10.14,0.01375718101626262,0.39805754548570077
1264000,1.1720299118757247,449.95,216,1.810292140841484,0.7631337815523147,16.0,5.0,158,-0.011194952703081072,10.11,0.02251489067450166,0.5393849246038366
1272000,1.1912650263309479,447.4,216,1.7598618590831756,0.7871044570207596,15.0,5.9,159,-0.0011280040145356907,9.87,0.020661666337400676,0.48729576180932055
1280000,1.180899702310562,460.41,216,1.7219426494836807,0.7709748482704163,15.100000000000009,6.0,160,-0.004849943344524945,10.33,0.019688522056676448,0.4786616760246605
1288000,1.1655806589126587,465.01,216,1.777505974173546,0.7932754778861999,16.10000000000001,6.0,161,-0.01087087261112174,10.58,0.02091335316654295,0.5366594033171462
1296000,1.1578891861438751,464.51,216,1.7209149396419525,0.7770379066467286,15.100000000000009,6.0,162,-0.005082117654383183,10.73,0.01947407179046422,0.47315202117615734
1304000,1.180858952999115,458.07,216,1.6693445485830307,0.8173265975713729,16.0,6.0,163,-0.008096982000861317,10.9,0.01848345246631652,0.439162779835858
1312000,1.1693455576896667,462.58,216,1.871008903980255,0.7205229902267456,17.0,6.0,164,-0.002118322110327426,11.14,0.023069877196103334,0.4996945632222801
1320000,1.1663194942474364,470.89,216,1.879661452770233,0.7574427282810211,17.0,6.9,165,-0.0004927681041590404,11.46,0.023163133468478918,0.5255640014942017
1328000,1.1704232716560363,466.24,216,1.8077041220664978,0.8006077551841736,17.0,6.0,166,-0.012525682745617814,11.32,0.02154497570358217,0.5056350633641309
1336000,1.141553933620453,460.31,217,1.8205157446861266,0.7914576119184494,16.10000000000001,5.0,167,-0.006170834053627914,11.01,0.02181608468759805,0.5253107445904298
1344000,1.1504983770847321,475.5,217,1.96012807905674,0.7258974248170853,17.0,6.0,168,-0.003107940387853887,11.47,0.02516728011891246,0.5428392199314213
1352000,1.1520433247089386,494.66,217,1.848101476430893,0.8023434913158417,18.0,6.9,169,-0.010332814889843576,11.9,0.022549894601106645,0.5520682345873366
1360000,1.1319511425495148,489.87,217,1.9269619727134704,0.7712581932544709,18.0,6.9,170,-0.004913729968247935,11.89,0.024864952019415795,0.5850583994461706
