PMM:episode_rewards,fps,grad_norm,advantage_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,frames,policy_loss,explained_variance,value_loss,policy_entropy,clip_fraction,episode_length,P01:episode_rewards
220.25,250,0.05534731729586012,15.968717867136002,500.0,0.002139607981973768,104,1064960,-0.0015303342741390224,1.862645149230957e-09,0.014460497396066785,1.6218169748783111,0.1725341796875,343.02,50.0
210.0,250,0.05571065042171595,15.968717968463897,452.50000000000017,0.002093205964300182,105,1075200,-0.0010898745051235892,-7.450580596923829e-10,0.011800221108569531,1.6206179223954678,0.16640625,345.44,50.0
232.5,250,0.058117370061346006,15.968717646598815,502.5000000000002,0.002435867720225815,106,1085440,-0.0006324377245618962,-4.8428773880004884e-09,0.011730453465133905,1.6414894491434098,0.196337890625,356.67,50.0
235.0,250,0.05926354883837415,15.968717819452285,525.0,0.002758248760329707,107,1095680,-0.0017338595520413947,-1.4528632164001465e-08,0.012672661387478001,1.6147881485521793,0.239404296875,359.06,75.0
209.25,250,0.05701878128001479,15.968717741966248,455.0000000000004,0.0020394760158126248,108,1105920,-0.0011206717994355132,1.1175870895385742e-08,0.010846407241479028,1.6292674638330937,0.1925537109375,350.49,50.0
211.5,250,0.053160710205570894,15.96871782541275,455.0000000000004,0.0018224427917800767,109,1116160,-0.0012849471720983274,-5.960464477539063e-09,0.011986663228162798,1.6367518931627274,0.1658203125,349.14,75.0
232.25,250,0.05663073630661917,15.968717682361603,550.0,0.0022023334676532615,110,1126400,-0.0009176617768389406,-1.2293457984924316e-08,0.012367589506902732,1.6777658343315125,0.18876953125,351.18,50.0
243.5,249,0.060878652580830014,15.968717956542969,550.0,0.002350724370279522,111,1136640,-0.0013147605168342125,0.0,0.012822718078678009,1.7479704722762108,0.2111328125,355.06,72.50000000000001
218.5,249,0.053576715989028335,15.968717533349992,550.0,0.0024590907318952303,112,1146880,-0.0009108211364946328,1.3783574104309083e-08,0.007105559264437034,1.718959517031908,0.22763671875,351.83,50.0
205.0,249,0.0560493679616423,15.968717795610427,550.0,0.002795465673753483,113,1157120,-0.0012346250834525563,4.470348358154297e-09,0.009558529696187179,1.7235547125339508,0.2246337890625,350.86,25.0
164.25,249,0.06074847936756278,15.96871775984764,317.5000000000015,0.002487950264992378,114,1167360,-0.000997755526623223,-7.078051567077636e-09,0.010768843167534214,1.7405563771724701,0.213623046875,342.45,25.0
162.0,249,0.05618405062401628,15.968717855215072,277.5000000000002,0.002391080533141121,115,1177600,-0.0012114267909055342,-1.825392246246338e-08,0.008748292193558882,1.7374733172357082,0.21201171875,341.39,47.50000000000001
152.75,249,0.054343099102244864,15.96871750354767,275.0,0.0030227358315357833,116,1187840,-0.0014954903388570528,-4.470348358154297e-09,0.007941150920578366,1.711925744265318,0.25498046875,336.64,50.0
126.0,249,0.048630939311287154,15.968717139959335,252.50000000000023,0.002323807339088546,117,1198080,-0.001242774725324125,-1.1175870895385742e-09,0.005368043838871017,1.525597659498453,0.172119140625,328.39,0.0
86.0,249,0.04596554953389327,15.968716818094254,177.50000000000023,0.0029451198903302613,118,1208320,-0.001018956817279104,-1.0058283805847169e-08,0.0042575955348524985,1.5254756532609464,0.2347412109375,315.99,0.0
71.0,249,0.04303828365453373,15.968716204166412,125.0,0.0030190153733087753,119,1218560,-0.0015592347379424609,-2.2351741790771484e-08,0.005215408524924925,1.4173073709011077,0.20947265625,315.28,0.0
74.75,249,0.03709890555607021,15.968716984987259,127.50000000000021,0.002254058279389426,120,1228800,-0.0015075561390403892,-5.587935447692871e-09,0.0050991280417292725,1.2432994656264782,0.1744140625,324.94,0.0
