policy_gradient_bias_correction,advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,frames,model_prob_std,q_loss,fps,episode_length,rollout_prob_std,avg_q_selected,epoch_idx,grad_norm,P01:episode_rewards,policy_gradient_loss,P09:episode_rewards,policy_entropy,avg_q_retraced
-2.2719686216711285e-07,0.0007640018311884546,-7.314237500558555e-07,0.0,-445.1930325780785,468000,8.522659972210435e-05,1.529976431026976e-08,394,3324.54,0.014397900314722233,3.551997512112822e-05,65,2.5640349771603284e-05,0.0,-5.042268901287379e-07,0.0,2.1972247067519595,3.4622642383510536e-05
-2.3065773638383462e-07,0.0006346974348468788,-1.0750200527046107e-06,0.0,-925.0318663671787,475200,7.100976249327768e-05,1.338357449884338e-08,393,3324.54,0.012013608304540947,3.215940292906207e-05,66,2.137876002347032e-05,0.0,-8.443623207830974e-07,0.0,2.1972249142612728,3.056619655180405e-05
-1.6441464718109866e-07,0.0007286240676296348,-7.480406765334387e-07,0.0,-828.9110435598616,482400,8.033127687862021e-05,1.5358016808714913e-08,394,3324.63,0.010040215683616795,2.7836495440707285e-05,67,2.3774036947564596e-05,0.0,-5.83626030656341e-07,0.0,2.1972247361316883,2.6518860566876168e-05
-1.3049782499368893e-07,0.0006047983219984599,-6.721985224439691e-07,0.0,-928.8421579048412,489600,6.833519891420867e-05,1.408272454410738e-08,393,3324.63,0.007079132090546845,2.3026859055781723e-05,68,2.178710856607519e-05,0.0,-5.417006981104459e-07,0.0,2.197224892778945,2.2285846558271943e-05
-1.1691499368539206e-07,0.0005848549517235917,-7.677646673262494e-07,0.0,-842.1506270351297,496800,6.896841481243933e-05,1.4612655930940341e-08,393,3324.63,0.01078524336813564,1.8432713848503064e-05,69,2.2836947976926358e-05,0.0,-6.508496788485435e-07,0.0,2.197224974944478,1.6359563518200223e-05
-2.5479133032574587e-07,0.0006258387966833831,-7.219636523280577e-07,0.0,-648.546349892938,504000,6.926176880600276e-05,1.0851390559299327e-08,393,3324.63,0.0145932761386287,1.8169838782009647e-05,70,2.1514399344410348e-05,0.0,-4.671723215367671e-07,0.0,2.1972249435936964,1.6293256438766473e-05
-1.1265300498523051e-07,0.0005254537666347923,-4.2120791916059175e-07,0.0,-1522.4476841372723,511200,5.9128418883307266e-05,9.322662738495356e-09,393,3324.63,0.006913008194098135,1.1426888237121515e-05,71,1.752667950868111e-05,0.0,-3.0855491295334053e-07,0.0,2.1972249400048027,1.0920894433531379e-05
-1.780060022646486e-07,0.00065322115632807,-4.059907051668692e-07,0.0,-260.75345880521667,518400,7.095167321716313e-05,1.2092031540031312e-08,393,3324.6,0.007458578791564659,1.233923845702788e-05,72,2.0045969597560192e-05,0.0,-2.2798470254530442e-07,0.0,2.1972249370466463,1.1670494629045931e-05
-1.7811919370430315e-07,0.00047539652245961794,-4.323724323064336e-07,0.0,-1738.5541054733214,525600,5.4478534982295466e-05,8.771078035687857e-09,393,3324.61,0.009611465456209422,1.017161934134225e-05,73,1.7149053387081917e-05,0.0,-2.542532382579848e-07,0.0,2.19722505399159,1.0418467821503486e-05
-1.8194370831066183e-07,0.0005582489588550902,-3.228901554761162e-07,0.0,-423.1277798512281,532800,6.688098160798116e-05,1.5210722574854478e-08,393,3324.61,0.01172546488115514,3.859956024378105e-06,74,2.538466840540346e-05,0.0,-1.409464462418e-07,0.0,2.197225014147935,4.096166662708842e-06
-1.4490704877688123e-07,0.00045902697352710037,-4.459405823607391e-07,0.0,-1632.4005745679235,540000,5.432716212368856e-05,1.0012858474872481e-08,393,3324.61,0.010235235252830552,7.221632221185497e-06,75,1.646323789094923e-05,0.0,-3.0103353084996006e-07,0.0,2.1972250962352,6.378302610469988e-06
-9.468759928710917e-08,0.0006315784893948608,-2.0374887728657447e-07,0.0,-159.72140603643246,547200,7.184255180303299e-05,9.980254003133164e-09,393,3324.61,0.007813648868367077,4.995593761196855e-06,76,1.8935759484044906e-05,0.0,-1.0906127745668955e-07,0.0,2.197224917556874,4.157002096553972e-06
-1.5312393887873358e-07,0.0005588397936949223,-7.546082691529065e-08,0.0,-948.1992739344903,554400,6.163328551416252e-05,9.798263756658797e-09,393,3324.61,0.0098136439467466,2.8255153987707733e-06,77,1.744659790141083e-05,0.0,7.766311259428458e-08,0.0,2.197224973254103,3.3187113802611147e-06
-1.1822954954751036e-07,0.0006356996110076536,-1.1395981058998172e-07,0.0,-726.472168099161,561600,6.861722642566199e-05,1.0932078090641191e-08,392,3324.53,0.00729225271338688,3.865035426889292e-06,78,1.8824856322215144e-05,0.0,4.2697395755880084e-09,0.0,2.1972248891137895,4.030098935044089e-06
-1.2124470143064584e-07,0.0005162934348751301,-7.862717594229642e-08,0.0,-1392.1762513917088,568800,6.048862790868902e-05,1.3195095961199981e-08,392,3324.53,0.007504563322004465,1.909300042951352e-06,79,1.8835982496319367e-05,0.0,4.261752545752166e-08,0.0,2.1972250338900023,1.690711922506919e-06
